m,n,analytic_rank
2,1,0
6,1,0
10,7,0
10,9,0
14,9,0
14,11,0
18,5,0
18,11,0
18,17,0
22,5,0
22,7,0
22,9,0
22,13,1
22,19,0
26,3,0
26,7,0
26,9,0
26,15,0
26,17,0
26,21,1
26,25,1
30,1,0
30,7,1
30,13,0
30,19,0
30,23,0
34,1,0
34,5,1
34,7,1
34,9,0
34,13,0
34,19,0
34,27,1
34,29,1
34,31,1
38,1,1
38,11,0
38,13,0
38,21,0
38,29,1
38,31,0
38,33,0
38,35,1
38,37,0
42,1,0
42,5,1
42,11,1
42,17,0
42,19,1
42,23,1
42,29,2
42,31,1
42,37,0
46,1,0
46,7,0
46,15,1
46,17,0
46,21,1
46,25,0
46,29,0
46,33,0
46,35,0
46,45,1
50,1,0
50,3,0
50,11,0
50,13,0
50,17,1
50,21,1
50,23,1
50,27,0
50,29,1
50,33,0
50,37,0
50,39,0
50,43,0
50,47,0
50,49,0
54,1,0
54,5,0
54,7,1
54,17,0
54,23,1
54,25,0
54,29,0
54,31,0
54,35,1
54,47,1
54,49,1
58,1,0
58,9,1
58,17,0
58,23,0
58,25,0
58,31,1
58,49,1
58,57,0
62,1,1
62,13,1
62,19,1
62,25,0
62,27,0
66,1,2
66,25,0
70,11,0
70,27,1
74,29,1
74,47,0
78,25,0
82,33,1
86,27,0
86,39,1
86,59,1
94,13,0
98,17,1
98,27,0
98,45,1
98,71,0
110,61,1
122,121,0
126,43,0
134,9,0
134,109,1
142,27,1
162,67,0
74,1,0
74,7,0
