m,n,quotient,rank_resolution,torsion_size,lift_argument,M_MAX_scan,date
2,1,E_3,ellrank,4,naive,100,2026-04-29
3,2,E_3,ellrank,4,naive,100,2026-04-29
4,1,E_3,ellrank,4,naive,100,2026-04-29
4,3,E_3,ellrank,4,naive,100,2026-04-29
5,4,E_3,modular_symbol,4,naive,100,2026-04-29
6,1,E_3,ellrank,4,naive,100,2026-04-29
6,5,E_3,modular_symbol,4,naive,100,2026-04-29
7,2,E_3,ellrank,4,naive,100,2026-04-29
7,4,E_uV,ellrank,8,refined,100,2026-04-29
7,6,E_3,ellrank,4,naive,100,2026-04-29
8,1,E_3,ellrank,4,naive,100,2026-04-29
8,3,E_uV,modular_symbol,8,refined,100,2026-04-29
9,2,E_3,ellrank,4,naive,100,2026-04-29
9,4,E_3,ellrank,4,naive,100,2026-04-29
9,8,E_3,ellrank,4,naive,100,2026-04-29
10,7,E_uV,ellrank,8,refined,100,2026-04-29
10,9,E_3,modular_symbol,4,naive,100,2026-04-29
11,2,E_3,ellrank,4,naive,100,2026-04-29
11,6,E_3,ellrank,4,naive,100,2026-04-29
12,1,E_3,ellrank,4,naive,100,2026-04-29
12,5,E_3,ellrank,4,naive,100,2026-04-29
12,7,E_3,modular_symbol,4,naive,100,2026-04-29
12,11,E_3,modular_symbol,4,naive,100,2026-04-29
13,2,E_3,ellrank,4,naive,100,2026-04-29
13,4,E_uV,modular_symbol,8,refined,100,2026-04-29
13,8,E_uV,ellrank,8,refined,100,2026-04-29
13,10,E_3,modular_symbol,4,naive,100,2026-04-29
13,12,E_3,modular_symbol,4,naive,100,2026-04-29
14,5,E_uV,ellrank,8,refined,100,2026-04-29
14,9,E_uV,ellrank,8,refined,100,2026-04-29
14,11,E_uV,ellrank,8,refined,100,2026-04-29
15,2,E_3,ellrank,4,naive,100,2026-04-29
15,14,E_3,modular_symbol,4,naive,100,2026-04-29
16,3,E_3,ellrank,4,naive,100,2026-04-29
16,5,E_uV,modular_symbol,8,refined,100,2026-04-29
16,7,E_uV,ellrank,8,refined,100,2026-04-29
16,11,E_3,ellrank,4,naive,100,2026-04-29
16,13,E_3,ellrank,4,naive,100,2026-04-29
16,15,E_3,modular_symbol,4,naive,100,2026-04-29
17,2,E_3,ellrank,4,naive,100,2026-04-29
17,4,E_3,ellrank,4,naive,100,2026-04-29
17,8,E_uV,modular_symbol,8,refined,100,2026-04-29
17,10,E_3,modular_symbol,4,naive,100,2026-04-29
18,1,E_uV,modular_symbol,8,refined,100,2026-04-29
18,5,E_uV,ellrank,8,refined,100,2026-04-29
18,7,E_uV,modular_symbol,8,refined,100,2026-04-29
18,11,E_3,ellrank,4,naive,100,2026-04-29
18,13,E_3,ellrank,4,naive,100,2026-04-29
19,2,E_uV,ellrank,8,refined,100,2026-04-29
19,4,E_3,ellrank,4,naive,100,2026-04-29
19,6,E_3,ellrank,4,naive,100,2026-04-29
19,8,E_uV,ellrank,8,refined,100,2026-04-29
19,12,E_3,modular_symbol,4,naive,100,2026-04-29
19,14,E_uV,ellrank,8,refined,100,2026-04-29
19,18,E_3,ellrank,4,naive,100,2026-04-29
20,1,E_3,modular_symbol,4,naive,100,2026-04-29
20,3,E_3,modular_symbol,4,naive,100,2026-04-29
